route_id,date,month,BPI
T459,2026-01-12,2026-01,0.8842
T460,2026-01-12,2026-01,0.8812
T461,2026-01-12,2026-01,0.8622
T462,2026-01-12,2026-01,0.7974
T463,2026-01-12,2026-01,0.6952
T464,2026-01-12,2026-01,0.7908
T465,2026-01-12,2026-01,0.7037
T504,2026-01-12,2026-01,0.856
T509,2026-01-12,2026-01,0.8249
T511,2026-01-12,2026-01,0.8259
T543,2026-01-12,2026-01,0.8603
T544,2026-01-12,2026-01,0.9184
T559,2026-01-12,2026-01,0.7424
T560,2026-01-12,2026-01,0.8748
T561,2026-01-12,2026-01,0.9829
T565,2026-01-12,2026-01,0.9357
T566,2026-01-12,2026-01,0.9215
T567,2026-01-12,2026-01,0.9099
T568,2026-01-12,2026-01,0.6033
T569,2026-01-12,2026-01,0.8655
T585,2026-01-12,2026-01,0.812
T586,2026-01-12,2026-01,0.9495
T587,2026-01-12,2026-01,0.9746
T588,2026-01-12,2026-01,0.8568
T589,2026-01-12,2026-01,0.901
T772,2026-01-12,2026-01,0.7371
T801,2026-01-12,2026-01,0.6373
T802,2026-01-12,2026-01,0.7964
T803,2026-01-12,2026-01,0.8525
T805,2026-01-12,2026-01,0.8767
T807,2026-01-12,2026-01,0.9578
T808,2026-01-12,2026-01,0.8862
T809,2026-01-12,2026-01,0.9267
T810,2026-01-12,2026-01,0.7427
T811,2026-01-12,2026-01,0.8916
T812,2026-01-12,2026-01,0.8211
T813,2026-01-12,2026-01,0.939
T814,2026-01-12,2026-01,0.9498
T815,2026-01-12,2026-01,0.8646
T816,2026-01-12,2026-01,0.8743
T817,2026-01-12,2026-01,0.7905
T818,2026-01-12,2026-01,0.882
T821,2026-01-12,2026-01,0.216
T852,2026-01-12,2026-01,0.7904
T100,2026-01-13,2026-01,0.9721
T101,2026-01-13,2026-01,0.8515
T102,2026-01-13,2026-01,0.7523
T103,2026-01-13,2026-01,0.892
T104,2026-01-13,2026-01,0.9768
T105,2026-01-13,2026-01,0.7817
T106,2026-01-13,2026-01,0.9833
T107,2026-01-13,2026-01,0.8726
T108,2026-01-13,2026-01,0.7789
T109,2026-01-13,2026-01,0.7785
T110,2026-01-13,2026-01,0.8871
T114,2026-01-13,2026-01,0.7789
T115,2026-01-13,2026-01,0.9171
T117,2026-01-13,2026-01,1
T121,2026-01-13,2026-01,0.9917
T152,2026-01-13,2026-01,0.5895
T154,2026-01-13,2026-01,0.8153
T180,2026-01-13,2026-01,0.8841
T305,2026-01-13,2026-01,0.8137
T352,2026-01-13,2026-01,0.7384
T400,2026-01-13,2026-01,0.7679
T401,2026-01-13,2026-01,0.7657
T402,2026-01-13,2026-01,0
T408,2026-01-13,2026-01,0.8615
T409,2026-01-13,2026-01,0.9413
T410,2026-01-13,2026-01,0.6328
T411,2026-01-13,2026-01,0.9379
T412,2026-01-13,2026-01,0.9859
T413,2026-01-13,2026-01,0.9676
T414,2026-01-13,2026-01,0.8766
T415,2026-01-13,2026-01,0.6811
T416,2026-01-13,2026-01,0.7635
T417,2026-01-13,2026-01,0.9261
T418,2026-01-13,2026-01,0.884
T419,2026-01-13,2026-01,0.7624
T451,2026-01-13,2026-01,0.7446
T453,2026-01-13,2026-01,0.784
T455,2026-01-13,2026-01,0.9534
T457,2026-01-13,2026-01,0.9295
T458,2026-01-13,2026-01,0.8908
T459,2026-01-13,2026-01,0.8735
T460,2026-01-13,2026-01,0.8844
T461,2026-01-13,2026-01,0.8362
T462,2026-01-13,2026-01,0.8747
T463,2026-01-13,2026-01,0.8657
T464,2026-01-13,2026-01,0.7513
T465,2026-01-13,2026-01,0.72
T504,2026-01-13,2026-01,0.8895
T509,2026-01-13,2026-01,0.8065
T511,2026-01-13,2026-01,0.7864
T543,2026-01-13,2026-01,0.8353
T544,2026-01-13,2026-01,0.7723
T545,2026-01-13,2026-01,0.4859
T559,2026-01-13,2026-01,0.7711
T560,2026-01-13,2026-01,0.8072
T561,2026-01-13,2026-01,0.9468
T565,2026-01-13,2026-01,0
T566,2026-01-13,2026-01,0.8929
T567,2026-01-13,2026-01,0.9756
T568,2026-01-13,2026-01,0.869
T569,2026-01-13,2026-01,0.8806
T585,2026-01-13,2026-01,0.4041
T586,2026-01-13,2026-01,0.9504
T587,2026-01-13,2026-01,0.9841
T588,2026-01-13,2026-01,0.8488
T589,2026-01-13,2026-01,0.9114
T772,2026-01-13,2026-01,0.756
T801,2026-01-13,2026-01,0.9523
T802,2026-01-13,2026-01,0.5957
T803,2026-01-13,2026-01,0.8818
T804,2026-01-13,2026-01,0.797
T805,2026-01-13,2026-01,0.8872
T807,2026-01-13,2026-01,0.9098
T808,2026-01-13,2026-01,0.9257
T809,2026-01-13,2026-01,0.943
T810,2026-01-13,2026-01,0.7375
T811,2026-01-13,2026-01,0.8929
T812,2026-01-13,2026-01,0.8414
T813,2026-01-13,2026-01,0.935
T814,2026-01-13,2026-01,0.9539
T815,2026-01-13,2026-01,0.8819
T816,2026-01-13,2026-01,0.8722
T817,2026-01-13,2026-01,0.7803
T818,2026-01-13,2026-01,0.7357
T821,2026-01-13,2026-01,0.7999
T852,2026-01-13,2026-01,0.5206
T100,2026-01-14,2026-01,0.8043
T101,2026-01-14,2026-01,0.8363
T102,2026-01-14,2026-01,0
T103,2026-01-14,2026-01,0.9017
T104,2026-01-14,2026-01,0.866
T105,2026-01-14,2026-01,0.959
T106,2026-01-14,2026-01,0.9735
T107,2026-01-14,2026-01,0.9151
T108,2026-01-14,2026-01,0.7916
T109,2026-01-14,2026-01,0.7865
T110,2026-01-14,2026-01,0.9062
T114,2026-01-14,2026-01,0.6847
T115,2026-01-14,2026-01,0.8631
T117,2026-01-14,2026-01,0.9783
T121,2026-01-14,2026-01,0.8114
T152,2026-01-14,2026-01,0.6435
T154,2026-01-14,2026-01,0.824
T180,2026-01-14,2026-01,0.916
T305,2026-01-14,2026-01,0.7851
T352,2026-01-14,2026-01,0.8161
T400,2026-01-14,2026-01,0.9261
T401,2026-01-14,2026-01,0.917
T402,2026-01-14,2026-01,0
T407,2026-01-14,2026-01,0.7967
T408,2026-01-14,2026-01,0.8595
T409,2026-01-14,2026-01,0.9668
T410,2026-01-14,2026-01,0.6195
T411,2026-01-14,2026-01,0.9659
T412,2026-01-14,2026-01,0.9818
T413,2026-01-14,2026-01,0.9702
T414,2026-01-14,2026-01,0.8568
T415,2026-01-14,2026-01,0.6576
T416,2026-01-14,2026-01,0.8392
T417,2026-01-14,2026-01,0.9584
T418,2026-01-14,2026-01,0.8795
T419,2026-01-14,2026-01,0.712
T451,2026-01-14,2026-01,0.6601
T453,2026-01-14,2026-01,0.8169
T455,2026-01-14,2026-01,0.9528
T457,2026-01-14,2026-01,0.9003
T458,2026-01-14,2026-01,0.8785
T459,2026-01-14,2026-01,0.8184
T460,2026-01-14,2026-01,0.8849
T461,2026-01-14,2026-01,0.8752
T462,2026-01-14,2026-01,0.9362
T463,2026-01-14,2026-01,0.2896
