"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-03,"T461",435,406,27,2,22.7333333333333,0.9333,0.9746,0.0254,-0.069,0.9498,-0.107,0.8985,"2025-04"
2025-04-03,"T462",404,372,27,5,43.4666666666667,0.9208,0.9191,0.0809,-0.0825,0.8447,-0.1471,0.8632,"2025-04"
2025-04-03,"T463",314,298,14,2,33.85,0.949,0.9611,0.0389,-0.0523,0.9236,-0.092,0.9121,"2025-04"
2025-04-03,"T464",157,132,21,4,84.0833333333333,0.8408,0.8384,0.1616,-0.1734,0.7029,-0.3176,0.7279,"2025-04"
2025-04-03,"T465",253,213,29,11,38.05,0.8419,0.9057,0.0943,-0.1721,0.8202,-0.259,0.7718,"2025-04"
2025-04-03,"T507",530,490,37,3,42.6666666666667,0.9245,0.9716,0.0284,-0.0785,0.9439,-0.1188,0.888,"2025-04"
2025-04-03,"T511",517,454,58,5,62.0833333333333,0.8781,0.8904,0.1096,-0.1299,0.7928,-0.2212,0.8016,"2025-04"
2025-04-03,"T542",263,262,0,1,12.05,0.9962,0.9994,6e-04,-0.0038,0.9988,-0.0262,0.9741,"2025-04"
2025-04-03,"T543",592,570,21,1,42.95,0.9628,0.9933,0.0067,-0.0379,0.9866,-0.0666,0.9356,"2025-04"
2025-04-03,"T544",427,405,12,10,24.7333333333333,0.9485,0.9624,0.0376,-0.0529,0.9263,-0.0927,0.9115,"2025-04"
2025-04-03,"T559",246,209,31,6,21.4333333333333,0.8496,0.9214,0.0786,-0.163,0.8489,-0.2387,0.7877,"2025-04"
2025-04-03,"T560",511,475,30,6,17.9666666666667,0.9295,0.9725,0.0275,-0.0731,0.9457,-0.1124,0.8937,"2025-04"
2025-04-03,"T561",280,271,7,2,27.2,0.9679,0.9931,0.0069,-0.0327,0.9862,-0.0606,0.9412,"2025-04"
2025-04-03,"T562",224,181,39,4,18.0666666666667,0.808,0.8403,0.1597,-0.2131,0.7062,-0.3618,0.6964,"2025-04"
2025-04-03,"T563",316,255,57,4,33.4333333333333,0.807,0.9528,0.0472,-0.2145,0.9079,-0.2832,0.7534,"2025-04"
2025-04-03,"T564",190,175,11,4,18.2333333333333,0.9211,0.2129,0.7871,-0.0822,0.0453,-1.9137,0.1475,"2025-04"
2025-04-03,"T565",555,500,49,6,32.7333333333333,0.9009,0.6715,0.3285,-0.1044,0.4509,-0.4847,0.6159,"2025-04"
2025-04-03,"T566",477,465,8,4,29.4666666666667,0.9748,0.9853,0.0147,-0.0255,0.9708,-0.054,0.9474,"2025-04"
2025-04-03,"T567",390,365,22,3,23.2333333333333,0.9359,0.9574,0.0426,-0.0662,0.9166,-0.1097,0.8961,"2025-04"
2025-04-03,"T568",404,355,46,3,37.9,0.8787,0.6901,0.3099,-0.1293,0.4762,-0.4784,0.6198,"2025-04"
2025-04-03,"T585",664,650,12,2,45.2333333333333,0.9789,0.7658,0.2342,-0.0213,0.5864,-0.2305,0.7941,"2025-04"
2025-04-03,"T586",570,549,20,1,36.2166666666667,0.9632,0.9881,0.0119,-0.0375,0.9763,-0.0672,0.935,"2025-04"
2025-04-03,"T587",408,404,2,2,19.2333333333333,0.9902,0.878,0.122,-0.0099,0.771,-0.0924,0.9117,"2025-04"
2025-04-03,"T588",406,377,24,5,25.9333333333333,0.9286,0.8015,0.1985,-0.0741,0.6425,-0.2447,0.7829,"2025-04"
2025-04-03,"T589",498,474,24,0,29.6166666666667,0.9518,0.9743,0.0257,-0.0494,0.9493,-0.0847,0.9188,"2025-04"
2025-04-03,"T772",473,368,98,7,62.4,0.778,0.8989,0.1011,-0.251,0.8079,-0.3548,0.7013,"2025-04"
2025-04-03,"T801",458,439,13,6,27.8,0.9585,0.0755,0.9245,-0.0424,0.0057,-2.5253,0.08,"2025-04"
2025-04-03,"T802",683,638,27,18,54,0.9341,0.8873,0.1127,-0.0682,0.7874,-0.1525,0.8586,"2025-04"
2025-04-03,"T803",599,566,30,3,59.25,0.9449,0.9763,0.0237,-0.0567,0.9531,-0.0923,0.9118,"2025-04"
2025-04-03,"T804",283,219,56,8,48.7166666666667,0.7739,0.8704,0.1296,-0.2564,0.7576,-0.3835,0.6815,"2025-04"
2025-04-03,"T805",487,453,31,3,25.4333333333333,0.9302,0.9424,0.0576,-0.0724,0.888,-0.1229,0.8844,"2025-04"
2025-04-03,"T807",966,844,108,14,41.9333333333333,0.8737,0.8692,0.1308,-0.135,0.7554,-0.2438,0.7836,"2025-04"
2025-04-03,"T808",206,190,16,0,11.05,0.9223,0.9712,0.0288,-0.0809,0.9433,-0.1221,0.8851,"2025-04"
2025-04-03,"T809",486,421,60,5,33.25,0.8663,0.9638,0.0362,-0.1436,0.9289,-0.1968,0.8214,"2025-04"
2025-04-03,"T810",394,324,67,3,17.9,0.8223,0.9206,0.0794,-0.1956,0.8476,-0.2774,0.7578,"2025-04"
2025-04-03,"T811",421,392,26,3,28.9166666666667,0.9311,0.9204,0.0796,-0.0714,0.8472,-0.1338,0.8748,"2025-04"
2025-04-03,"T812",340,301,38,1,23.8166666666667,0.8853,0.8908,0.1092,-0.1218,0.7935,-0.2115,0.8094,"2025-04"
2025-04-03,"T813",518,486,29,3,20.1333333333333,0.9382,0.9699,0.0301,-0.0638,0.9407,-0.1026,0.9025,"2025-04"
