route_id,date,month,BPI,route_short_name,route_long_name
T3008,2026-04-09,2026-04,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-04-09,2026-04,0.9493,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-04-09,2026-04,0.8446,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-04-09,2026-04,0.5044,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-04-09,2026-04,0.6696,T350,Stesen LRT Cempaka ~ Taman Mawar
T4068,2026-04-09,2026-04,0.8944,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-04-09,2026-04,0.658,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-04-09,2026-04,0.3873,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-04-09,2026-04,0.8413,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-04-09,2026-04,0.6487,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-04-09,2026-04,0.9519,T601,Puchong Utama ~ Puchong Prima
T6030,2026-04-09,2026-04,0.8155,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-04-09,2026-04,0.8125,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-04-09,2026-04,0.9732,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-04-09,2026-04,0.7561,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-04-09,2026-04,0.7591,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-04-09,2026-04,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-04-09,2026-04,0.9024,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-04-09,2026-04,0.882,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-04-09,2026-04,0.8594,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-04-09,2026-04,0.3614,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7820,2026-04-09,2026-04,0.9316,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-04-09,2026-04,0.6329,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-04-09,2026-04,0.93,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7890,2026-04-09,2026-04,0.8625,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7910,2026-04-09,2026-04,0.754,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-04-09,2026-04,1,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
U1510,2026-04-09,2026-04,0.6247,151,Bandar Baru Selayang ~ Hab Pasar Seni
U1710,2026-04-09,2026-04,0.7241,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-04-09,2026-04,0.826,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-04-09,2026-04,0.8011,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-04-09,2026-04,0.8912,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-04-09,2026-04,0.5326,200,UIA Gombak ~ SOGO KL
U2018,2026-04-09,2026-04,0.6917,201,Batu 12 Gombak – SOGO KL
U2020,2026-04-09,2026-04,0.7687,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
